id,name
l10n_ch.vat_tag_302,Switzerland VAT Form: grid 302a
l10n_ch.vat_tag_302b,Switzerland VAT Form: grid 302b
l10n_ch.vat_tag_342,Switzerland VAT Form: grid 342a
l10n_ch.vat_tag_342b,Switzerland VAT Form: grid 342b
