id,name,description_sale
scenario.product_141142,"AL2 RC-plus/DNW","Lampada senza rilevatore di movimento, bianco"
scenario.product_141143,"AL2 RC-plus 230/DNW","Lampada con rilevatore di movimento, bianco"
scenario.product_141144,"AL2 RC-plus 270/DNW","Lampada con rilevatore di movimento, bianco"
scenario.product_141146,"AL2 RC-plus 230/DNS","Lampada con rilevatore di movimento, nero"
scenario.product_141147,"AL2 RC-plus 270/DNS","Lampada con rilevatore di movimento, nero"
scenario.product_141149,"AL2 RC-plus 230/LTW","Lampada con rilevatore di movimento, bianco"
scenario.product_141151,"AL2 RC-plus/LTW","Lampada senza rilevatore di movimento, bianco"
scenario.product_141152,"AL2 RC-plus/LTS","Lampada senza rilevatore di movimento, nero"
scenario.product_141153,"AL2 RC-plus 130/LTS","Lampada con rilevatore di movimento, nero"
scenario.product_141155,"AL2 RC-plus 270/LTS","Lampada con rilevatore di movimento, nero"
scenario.product_141156,"AL2 RC-plus/BBW","Lampada senza rilevatore di movimento, bianco"
scenario.product_141157,"AL2 RC-plus 130/BBW","Lampada con rilevatore di movimento, bianco"
scenario.product_141624,"RC-1","Circuito RC mini"
scenario.product_142054,"PD9 S 360 NM LON","Rilevatore di presenza LON, senza coperchio colorato"
scenario.product_142020,"PD3 S 360 NMU Micro","Rilevatore di movimento 10A, microfono, senza coperchio colorato"
scenario.product_142028,"PD3 S 360 NME Micro","Rilevatore di movimento 10A, microfono, senza coperchio colorato"
scenario.product_142022,"PD3 S 360 NMU","Rilevatore di movimento 10A, senza coperchio colorato"
scenario.product_142027,"PD3 S 360 NME","Rilevatore di movimento 10A, senza coperchio colorato"
scenario.product_142398,"IS C 2L KAL/W","Interruttore della luce intelligente, 2 fili, Kallysto, bianco"
scenario.product_142063,"PD2 S 360 UP KNX/W","Rilevatore di presenza KNX, bianco"
scenario.product_142067,"PD2 S MAX DE KNX/W","Rilevatore di presenza KNX, bianco"
scenario.product_142068,"PD2 MAX NM-DE Duo Dimm","Rilevatore di presenza Dimm 2x 1-10V, senza coperchio colorato"
scenario.product_142069,"PD2 S MAX NME LON","Rilevatore di presenza LON, senza coperchio colorato"
scenario.product_142485,"SK-PD9 S LC","Testa di sensore"
scenario.product_142071,"PD2 S MAX UP LON/W","Rilevatore di presenza LON, bianco"
scenario.product_142029,"PD4 S 360 DE/W","Rilevatore di movimento 10A, bianco"
scenario.product_142044,"PD9 S 360 NM Slave","Rilevatore di presenza Slave, senza coperchio colorato"
scenario.product_142077,"APG STA/W","Scatola AP Basico incl. Placca di fissaggio, bianco"
scenario.product_141186,"AL2 RC-plus 230/CRW","Lampada con rilevatore di movimento, bianco"
scenario.product_141188,"AL2 RC-plus/CRS","Lampada senza rilevatore di movimento, nero"
scenario.product_141191,"AL2 RC-plus 270/CRS","Lampada con rilevatore di movimento, nero"
