id,name,description_sale
scenario.product_151177,"PD2 S 180 UP Master 2C KAL/BE","Rilevatore di presenza 2 canali, design Kallysto, beige"
scenario.product_141954,"PD2 S 180 NM 12-48V KAL","Rilevatore di presenza 12V-24V-48V, Placca di fissaggio Kallysto"
scenario.product_142201,"PD2 S 180 C Slave SID/AL","Rilevatore di presenza Slave, design Sidus, alluminio"
scenario.product_141836,"PD2 S 180 UP Slave SOL/W","Rilevatore di presenza Slave, design Solfà, bianco"
scenario.product_141837,"PD2 S 180 UP Slave SID/W","Rilevatore di presenza Slave, design Sidus, bianco"
scenario.product_142141,"PD2 S 180 C 12-48V STA/S","Rilevatore di presenza 12V-24V-48V, design Standard, nero"
scenario.product_142149,"PD2 S 180 C 12-48V KAL/BE","Rilevatore di presenza 12V-24V-48V, design Kallysto, beige"
scenario.product_142118,"PD2 S 180 C KNX EDI/S","Rilevatore di presenza KNX, design EDIZIOdue, nero"
scenario.product_142198,"PD2 S 180 C KNX SID/AL","Rilevatore di presenza KNX, design Sidus, alluminio"
scenario.product_141849,"Indoor 180 C Kombi EDI/W","Rilevatore di movimento 10A, design EDIZIOdue, bianco"
scenario.product_141850,"Indoor 180 C Kombi KAL/W","Rilevatore di movimento 10A, design Kallysto, bianco"
scenario.product_142229,"AR SID/AL","Telaio Sidus, alluminio"
scenario.product_142230,"AR SID/AN","Telaio Sidus, antracite"
scenario.product_142231,"APG KAL/HG","Scatola AP Kallysto incl. Placca di fissaggio, grigio chiaro"
scenario.product_142232,"AKL","Morsetto di collegamento"
scenario.product_142233,"MS-RC-plus next/W","Zoccolo di montaggio RC-plus next, bianco"
scenario.product_142236,"AR KAL/DG","Telaio Kallysto, grigio scuro"
scenario.product_142237,"AR KAL/HG","Telaio Kallysto, grigio chiaro"
scenario.product_142239,"PD2 MAX AP Master GH","Rilevatore di presenza, bianco"
scenario.product_142240,"PD2 MAX AP Slave GH","Rilevatore di presenza Slave, bianco"
scenario.product_142241,"AC-RC-plus next/B","Maschere ad innesto RC-plus next, marrone"
scenario.product_142244,"AC-RC-plus next/W","Maschere ad innesto RC-plus next, bianco"
scenario.product_142246,"MS-RC-plus next/B","Zoccolo di montaggio RC-plus next, marrone"
scenario.product_142247,"MS-RC-plus next/SI","Zoccolo di montaggio RC-plus next, argento"
scenario.product_142248,"MS-LC-plus 280/W","Zoccolo di montaggio LC 280, bianco"
scenario.product_142249,"PD2 360 AP DALI-DSI","Rilevatore di presenza Dimm DALI-DSI, bianco"
scenario.product_142253,"LS-PD9-GH","Lente per PD9 per grande altezza"
scenario.product_142251,"APG SID/WG","Scatola AP Sidus, bianco-lucido"
scenario.product_142252,"AR SID/WG","Telaio Sidus, bianco-lucido"
scenario.product_142255,"PD2 MAX UP Dimm","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_142256,"SCT 1","Temporizzatore luci scale"
scenario.product_142257,"Kaiser DK-EBG 68","Coperchio 68mm per alloggiamento HaloX-O"
scenario.product_142572,"KE-ST/SI","Passacavo per standard, argento"
scenario.product_142259,"VK-PD9-Master-LC-3M","Prolunga di cavo testa del sensore 3 metri"
scenario.product_142260,"AB-Safetylux","Accubatteria di ricambio NiCd 1.2V 4500mA"
scenario.product_142261,"BK-UP","Collare di montaggio per PD2, PD3 e PD4 UP"
scenario.product_142262,"PD2 180 UP KNX EDI -25°C","Rilevatore di presenza KNX, design EDIZIOdue, bianco"
