id,active,name,company_id/id,currency_id/id,discount_policy,item_ids
scenario.productpricelist_all_brutto,True,Standard-Preisliste (Brutto),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_netto,True,Standard-Preisliste (Netto),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_gh_eldas,True,Eldas-Grossisten (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_gh_div1,True,Grossisten Stufe 2 (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_gh_div2,True,Grossisten Stufe 3 (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_digitalstrom,True,Digitalstrom,base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_beg_leuchtenhst,True,Leuchtenhersteller (BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_beg_handeldiv,True,Handel Divers (BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_aastra,True,AstraLED (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_handel1,True,Leuchtenhandel 1 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_handel2,True,Leuchtenhandel 2 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_handel3,True,Leuchtenhandel 3 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_leuchtenhst1,True,Leuchtenhersteller 1 (LED-Leuchten und BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_leuchtenhst2,True,Leuchtenhersteller 2 (LED-Leuchten und BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_leuchtenhst3,True,Leuchtenhersteller 3 (LED-Leuchten und BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_bauherr1,True,Bauherr 1 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_bauherr2,True,Bauherr 2 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_bauherr3,True,Bauherr 3 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_led_bauherr4,True,Bauherr 4 (LED-Leuchten),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_eigenbedarf,True,Eigenbedarf (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_ausbildung,True,Schulungs-/Ausbildungsmaterial (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_muster,False,Kostenlose Musterlieferung (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_return,True,Kostenlose Ersatzlieferung (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_all_free,True,Kostenlose Materiallieferung (gesamtes Sortiment),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_beg_inst1,True,Installateur Stufe 1 (BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_beg_inst2,True,Installateur Stufe 2 (BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_beg_inst3,True,Installateur Stufe 3 (BEG),base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_01,True,Auftragsrabatt 1%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_02,True,Auftragsrabatt 2%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_03,True,Auftragsrabatt 3%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_04,True,Auftragsrabatt 4%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_05,True,Auftragsrabatt 5%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_06,True,Auftragsrabatt 6%,base.main_company,base.CHF,Show discount in the sale order,
