id,product_min_qty,product_max_qty
scenario.orderpoint_142077,15,86
scenario.orderpoint_142081,2,6
scenario.orderpoint_142082,26,37
scenario.orderpoint_142083,0,0
scenario.orderpoint_142084,33,44
scenario.orderpoint_142085,6,8
scenario.orderpoint_142086,11,14
scenario.orderpoint_142087,36,64
scenario.orderpoint_142091,2207,5149
scenario.orderpoint_142092,690,1609
scenario.orderpoint_142093,22,34
scenario.orderpoint_142094,267,623
scenario.orderpoint_142095,431,1005
scenario.orderpoint_142219,1,2
scenario.orderpoint_142220,17,29
scenario.orderpoint_142226,1,2
scenario.orderpoint_142228,0,0
scenario.orderpoint_142230,0,0
scenario.orderpoint_142233,205,341
scenario.orderpoint_142235,0,0
scenario.orderpoint_142242,9,11
scenario.orderpoint_142243,59,65
scenario.orderpoint_142244,48,86
scenario.orderpoint_142245,6,8
scenario.orderpoint_142249,116,271
scenario.orderpoint_142252,63,70
scenario.orderpoint_142254,195,731
scenario.orderpoint_142255,4,7
scenario.orderpoint_142256,200,467
scenario.orderpoint_142265,42,126
scenario.orderpoint_142266,107,320
scenario.orderpoint_142275,14,50
scenario.orderpoint_142276,6,14
scenario.orderpoint_142277,5,12
scenario.orderpoint_142281,40,73
scenario.orderpoint_142282,44,63
scenario.orderpoint_142287,26,183
scenario.orderpoint_142291,254,465
scenario.orderpoint_142292,14,44
scenario.orderpoint_142293,17,56
scenario.orderpoint_142294,33,75
scenario.orderpoint_142295,0,0
scenario.orderpoint_142296,122,148
scenario.orderpoint_142298,0,0
scenario.orderpoint_142299,117,385
scenario.orderpoint_142300,40,106
scenario.orderpoint_142301,59,156
scenario.orderpoint_142302,36,111
scenario.orderpoint_142306,2,3
scenario.orderpoint_142311,18,36
scenario.orderpoint_142318,0,0
scenario.orderpoint_142319,68,143
scenario.orderpoint_142321,6774,15806
scenario.orderpoint_142323,27,58
scenario.orderpoint_142324,47,86
scenario.orderpoint_142332,14,15
scenario.orderpoint_142333,42,111
scenario.orderpoint_142334,40,106
scenario.orderpoint_142335,40,106
scenario.orderpoint_142336,28,51
scenario.orderpoint_142339,671,1565
scenario.orderpoint_142340,130,303
scenario.orderpoint_142342,138,321
scenario.orderpoint_142344,2380,5554
scenario.orderpoint_142356,222,494
scenario.orderpoint_142367,77,179
scenario.orderpoint_142376,35,73
scenario.orderpoint_142378,93,217
scenario.orderpoint_142415,238,555
scenario.orderpoint_142439,95,222
scenario.orderpoint_142440,37,70
scenario.orderpoint_142441,2275,5592
scenario.orderpoint_142444,304,506
scenario.orderpoint_142445,9,14
scenario.orderpoint_142446,5,5
scenario.orderpoint_142447,23,25
scenario.orderpoint_142448,122,217
scenario.orderpoint_142449,49,92
scenario.orderpoint_142450,40,91
scenario.orderpoint_142455,5,5
scenario.orderpoint_142456,32,73
