id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_141704,60,OP/00118,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141704,0,0
scenario.orderpoint_141706,60,OP/00119,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141706,0,0
scenario.orderpoint_141707,60,OP/00120,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141707,0,0
scenario.orderpoint_141708,60,OP/00121,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141708,0,0
scenario.orderpoint_141987,1,OP/00191,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141987,0,0
scenario.orderpoint_142077,10,OP/00225,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142077,0,0
scenario.orderpoint_141711,75,OP/00123,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141711,0,0
scenario.orderpoint_141712,60,OP/00124,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141712,0,0
scenario.orderpoint_141729,1,OP/00137,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141729,0,0
scenario.orderpoint_141730,1,OP/00138,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141730,0,0
scenario.orderpoint_141732,1,OP/00139,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141732,0,0
scenario.orderpoint_141733,1,OP/00140,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141733,0,0
scenario.orderpoint_141734,50,OP/00141,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141734,0,0
scenario.orderpoint_141736,1,OP/00142,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141736,0,0
scenario.orderpoint_141713,60,OP/00125,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141713,0,0
scenario.orderpoint_141710,60,OP/00122,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141710,0,0
scenario.orderpoint_141714,60,OP/00126,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141714,0,0
scenario.orderpoint_141808,1,OP/00171,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141808,0,0
scenario.orderpoint_142081,10,OP/00226,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142081,0,0
scenario.orderpoint_141986,1,OP/00190,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141986,0,0
scenario.orderpoint_141719,60,OP/00127,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141719,0,0
scenario.orderpoint_141720,60,OP/00128,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141720,0,0
scenario.orderpoint_141721,60,OP/00129,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141721,0,0
scenario.orderpoint_141722,60,OP/00130,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141722,0,0
scenario.orderpoint_141723,60,OP/00131,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141723,0,0
scenario.orderpoint_141657,1,OP/00099,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141657,0,0
scenario.orderpoint_141658,1,OP/00100,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141658,0,0
