id,name,categ_id/id,purchase_ok,sale_ok,type,product_manager/id,property_account_income_id,property_account_expense_id,receipt_checklist,supplier_taxes_id,taxes_id,description_purchase
product_template_sa_SA-Krankentaggeldversicherung(Beispielartikel),SA/FIN - Krankentaggeldversicherung,product_category_sa_Krankentaggeldversicherung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-PensionskasseBVG(Beispielartikel),SA/FIN - Pensionskasse BVG,product_category_sa_PensionskasseBVG,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Sachversicherungen(Beispielartikel),SA/FIN - Sachversicherungen,product_category_sa_Sachversicherungen,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Transportversicherung(Beispielartikel),SA/FIN - Transportversicherung,product_category_sa_Transportversicherung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unfallversicherung(Beispielartikel),SA/FIN - Unfallversicherung,product_category_sa_Unfallversicherung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Beratung(Beispielartikel),SA/FIN - Beratung,product_category_sa_Beratung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Bücher/Zeitschriften(Beispielartikel),SA/FIN - Bücher / Zeitschriften,product_category_sa_Bücher/Zeitschriften,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Revisionsstelle(Beispielartikel),SA/FIN - Revisionsstelle,product_category_sa_Revisionsstelle,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Verbandsbeiträge(Beispielartikel),SA/FIN - Verbandsbeiträge,product_category_sa_Verbandsbeiträge,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-AnschaffungenHR(Beispielartikel),SA/HR - Anschaffungen HR,product_category_sa_AnschaffungenHR,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Personal(Beispielartikel),SA/HR - Personal,product_category_sa_Personal,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-KleininvestitionenBüro-/Verwaltung(Beispielartikel),SA/HR - Kleininvestitionen Büro-/Verwaltung,product_category_sa_KleininvestitionenBüro-/Verwaltung,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-KleininvestitionenGarage-/Parkplätze(Beispielartikel),SA/HR - Kleininvestitionen Garage-/Parkplätze,product_category_sa_KleininvestitionenGarage-/Parkplätze,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-EventsfürMitarbeiter(Beispielartikel),SA/HR - Events für Mitarbeiter,product_category_sa_EventsfürMitarbeiter,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-GeschenkeanMitarbeiter(Beispielartikel),SA/HR - Geschenke an Mitarbeiter,product_category_sa_GeschenkeanMitarbeiter,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-VerpflegungMitarbeiterHR(Beispielartikel),SA/HR - Verpflegung Mitarbeiter HR,product_category_sa_VerpflegungMitarbeiterHR,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unterhalt/Reparatur(Beispielartikel),SA/HR - Unterhalt / Reparatur,product_category_sa_Unterhalt/Reparatur,True,False,consu,scenario.res_users_cfr,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-AnschaffungenProduktion(Beispielartikel),SA/LOG - Anschaffungen Produktion,product_category_sa_AnschaffungenProduktion,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-BüroundVerwaltung(Beispielartikel),SA/LOG - Büro und Verwaltung,product_category_sa_BüroundVerwaltung,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Hilfsmaterial(Beispielartikel),SA/LOG - Hilfsmaterial,product_category_sa_Hilfsmaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-MessenundAusbildungLOG(Beispielartikel),SA/LOG - Messen und Ausbildung LOG,product_category_sa_MessenundAusbildungLOG,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
