id,type,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_Haftpflichtversicherung,normal,Haftpflichtversicherung,product_category_sa_Versicherungen,6310,6310,6310,6310,6310
product_category_sa_Krankentaggeldversicherung,normal,Krankentaggeldversicherung,product_category_sa_Versicherungen,2274,2274,2274,2274,2274
product_category_sa_PensionskasseBVG,normal,Pensionskasse BVG,product_category_sa_Versicherungen,2270,2270,2270,2270,2270
product_category_sa_Sachversicherungen,normal,Sachversicherungen,product_category_sa_Versicherungen,6300,6300,6300,6300,6300
product_category_sa_Transportversicherung,normal,Transportversicherung,product_category_sa_Versicherungen,6303,6303,6303,6303,6303
product_category_sa_Unfallversicherung,normal,Unfallversicherung,product_category_sa_Versicherungen,2273,2273,2273,2273,2273
product_category_sa_Beratung,normal,Beratung,product_category_sa_Verwaltung,6580,6580,6580,6580,6580
product_category_sa_Bücher/Zeitschriften,normal,"Bücher, Zeitschriften",product_category_sa_Verwaltung,6503,6503,6503,6503,6503
product_category_sa_Revisionsstelle,normal,Revisionsstelle,product_category_sa_Verwaltung,6542,6542,6542,6542,6542
product_category_sa_Verbandsbeiträge,normal,Verbandsbeiträge,product_category_sa_Verwaltung,6520,6520,6520,6520,6520
product_category_sa_HR,view,SA/HR - Human Ressource,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenHR,view,Anschaffungen HR,product_category_sa_HR,,,,,
product_category_sa_Personal,view,Personal,product_category_sa_HR,,,,,
product_category_sa_KleininvestitionenBüro-/Verwaltung,normal,Kleininvestitionen Büro-/Verwaltung,product_category_sa_AnschaffungenHR,6001,6001,6001,6001,6001
product_category_sa_KleininvestitionenGarage-/Parkplätze,normal,Kleininvestitionen Garage-/Parkplätze,product_category_sa_AnschaffungenHR,6007,6007,6007,6007,6007
product_category_sa_EventsfürMitarbeiter,normal,Events für Mitarbeiter,product_category_sa_Personal,5880,5880,5880,5880,5880
product_category_sa_GeschenkeanMitarbeiter,normal,Geschenke an Mitarbeiter,product_category_sa_Personal,5088,5088,5088,5088,5088
product_category_sa_VerpflegungMitarbeiterHR,normal,Verpflegung Mitarbeiter HR,product_category_sa_Personal,5840,5840,5840,5840,5840
product_category_sa_Unterhalt/Reparatur,normal,"Unterhalt, Reparatur",product_category_sa_HR,6100,6100,6100,6100,6100
product_category_sa_Logistik/Produktion,view,"SA/LOG - Logistik, Produktion",scenario.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenProduktion,view,Anschaffungen Produktion,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_BüroundVerwaltung,view,Büro und Verwaltung,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Hilfsmaterial,view,Hilfsmaterial,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_MessenundAusbildungLOG,view,Messen und Ausbildung LOG,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Unterhalt/ReparaturenLOG,view,"Unterhalt, Reparaturen LOG",product_category_sa_Logistik/Produktion,,,,,
product_category_sa_AusgangsfrachtenundPorti,view,Ausgangsfrachten und Porti,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Wareneingang,view,Wareneingang,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Einkaufspreisminderungen,view,Einkaufspreisminderungen,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Büromobiliar/Büroeinrichtung,normal,"Büromobiliar, Büroeinrichtung",product_category_sa_AnschaffungenProduktion,1510,1510,1510,1510,1510
product_category_sa_KleininvestitionenBüro(<Fr.1500),normal,Kleininvestitionen Büro (< Fr. 1500),product_category_sa_AnschaffungenProduktion,6001,6001,6001,6001,6001
