id,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_MieteParkplätze,Miete Parkplätze,product_category_sa_Miete,6006,6006,6006,6006,6006
product_category_sa_AHV/IV/EO,"AHV, IV, EO",product_category_sa_Versicherungen,2271,2271,2271,2271,2271
product_category_sa_ALV,ALV,product_category_sa_Versicherungen,2271,2271,2271,2271,2271
product_category_sa_Fahrzeugversicherungen,Fahrzeugversicherungen,product_category_sa_Versicherungen,6220,6220,6220,6220,6220
product_category_sa_Haftpflichtversicherung,Haftpflichtversicherung,product_category_sa_Versicherungen,6310,6310,6310,6310,6310
product_category_sa_Krankentaggeldversicherung,Krankentaggeldversicherung,product_category_sa_Versicherungen,2274,2274,2274,2274,2274
product_category_sa_PensionskasseBVG,Pensionskasse BVG,product_category_sa_Versicherungen,2270,2270,2270,2270,2270
product_category_sa_Sachversicherungen,Sachversicherungen,product_category_sa_Versicherungen,6300,6300,6300,6300,6300
product_category_sa_Transportversicherung,Transportversicherung,product_category_sa_Versicherungen,6303,6303,6303,6303,6303
product_category_sa_Unfallversicherung,Unfallversicherung,product_category_sa_Versicherungen,2273,2273,2273,2273,2273
product_category_sa_Beratung,Beratung,product_category_sa_Verwaltung,6580,6580,6580,6580,6580
product_category_sa_Bücher/Zeitschriften,"Bücher, Zeitschriften",product_category_sa_Verwaltung,6503,6503,6503,6503,6503
product_category_sa_Revisionsstelle,Revisionsstelle,product_category_sa_Verwaltung,6542,6542,6542,6542,6542
product_category_sa_Verbandsbeiträge,Verbandsbeiträge,product_category_sa_Verwaltung,6520,6520,6520,6520,6520
product_category_sa_HR,SA/HR - Human Ressource,__setup__.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenHR,Anschaffungen HR,product_category_sa_HR,,,,,
product_category_sa_Personal,Personal,product_category_sa_HR,,,,,
product_category_sa_KleininvestitionenBüro-/Verwaltung,Kleininvestitionen Büro-/Verwaltung,product_category_sa_AnschaffungenHR,6001,6001,6001,6001,6001
product_category_sa_KleininvestitionenGarage-/Parkplätze,Kleininvestitionen Garage-/Parkplätze,product_category_sa_AnschaffungenHR,6007,6007,6007,6007,6007
product_category_sa_EventsfürMitarbeiter,Events für Mitarbeiter,product_category_sa_Personal,5880,5880,5880,5880,5880
product_category_sa_GeschenkeanMitarbeiter,Geschenke an Mitarbeiter,product_category_sa_Personal,5088,5088,5088,5088,5088
product_category_sa_VerpflegungMitarbeiterHR,Verpflegung Mitarbeiter HR,product_category_sa_Personal,5840,5840,5840,5840,5840
product_category_sa_Unterhalt/Reparatur,"Unterhalt, Reparatur",product_category_sa_HR,6100,6100,6100,6100,6100
product_category_sa_Logistik/Produktion,"SA/LOG - Logistik, Produktion",__setup__.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenProduktion,Anschaffungen Produktion,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_BüroundVerwaltung,Büro und Verwaltung,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Hilfsmaterial,Hilfsmaterial,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_MessenundAusbildungLOG,Messen und Ausbildung LOG,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Unterhalt/ReparaturenLOG,"Unterhalt, Reparaturen LOG",product_category_sa_Logistik/Produktion,,,,,
product_category_sa_AusgangsfrachtenundPorti,Ausgangsfrachten und Porti,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Wareneingang,Wareneingang,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Einkaufspreisminderungen,Einkaufspreisminderungen,product_category_sa_Logistik/Produktion,,,,,
product_category_sa_Büromobiliar/Büroeinrichtung,"Büromobiliar, Büroeinrichtung",product_category_sa_AnschaffungenProduktion,1510,1510,1510,1510,1510
product_category_sa_KleininvestitionenBüro(<Fr.1500),Kleininvestitionen Büro (< Fr. 1500),product_category_sa_AnschaffungenProduktion,6001,6001,6001,6001,6001
