id,name,city,user_id/id,region_id/id
npa_1000 Lausanne,1000,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
zip_105,1000,Lausanne 1 Dépôt,__setup__.res_users_mse,__setup__.region_-2144060037
zip_106,1000,Lausanne 2,__setup__.res_users_mse,__setup__.region_-2144060037
zip_107,1000,Lausanne 3,__setup__.res_users_mse,__setup__.region_-2144060037
zip_110,1000,Lausanne Ouchy,__setup__.res_users_mse,__setup__.region_-2144060037
zip_111,1000,Lausanne 7,__setup__.res_users_mse,__setup__.region_-2144060037
zip_112,1000,Lausanne 8,__setup__.res_users_mse,__setup__.region_-2144060037
zip_114,1000,Lausanne 12,__setup__.res_users_mse,__setup__.region_-2144060037
zip_116,1000,Lausanne 14,__setup__.res_users_mse,__setup__.region_-2144060037
zip_117,1000,Lausanne 16,__setup__.res_users_mse,__setup__.region_-2144060037
zip_118,1000,Lausanne 17,__setup__.res_users_mse,__setup__.region_-2144060037
zip_119,1000,Lausanne 19,__setup__.res_users_mse,__setup__.region_-2144060037
zip_120,1000,Lausanne 20,__setup__.res_users_mse,__setup__.region_-2144060037
zip_121,1000,Lausanne 21,__setup__.res_users_mse,__setup__.region_-2144060037
zip_122,1000,Lausanne 22,__setup__.res_users_mse,__setup__.region_-2144060037
zip_123,1000,Lausanne 23,__setup__.res_users_mse,__setup__.region_-2144060037
zip_124,1000,Lausanne 24 Vennes,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1000 Lausanne 25,1000,Lausanne 25,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1000 Lausanne 26,1000,Lausanne 26,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1000 Lausanne 27,1000,Lausanne 27,__setup__.res_users_mse,__setup__.region_-2144060037
zip_130,1000,Lausanne Distribution,__setup__.res_users_mse,__setup__.region_-2144060037
zip_132,1000,Lausanne Swisscom,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9112,1000,Lausanne CT,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9265,1000,Lausanne 10,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9266,1000,Lausanne 18,__setup__.res_users_mse,__setup__.region_-2144060037
zip_145,1001,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
zip_8483,1001,Lausanne Sozialberatung,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9101,1001,Lausanne PF 331-120,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9103,1001,Lausanne PF 331-140,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9104,1001,Lausanne Arc Jurassien,__setup__.res_users_mse,__setup__.region_-2144060037
zip_149,1002,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1003 Lausanne,1003,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9036,1003,Lausanne Parking du Centre,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9054,1003,Lausanne Terreaux PF,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1004 Lausanne,1004,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1005 Lausanne,1005,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1006 Lausanne,1006,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
zip_9035,1006,Lausanne Parking d'Ouchy,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1007 Lausanne,1007,Lausanne,__setup__.res_users_mse,__setup__.region_-2144060037
npa_1008 Prilly,1008,Prilly,__setup__.res_users_mse,__setup__.region_-2144060037
