id,product_tmpl_id:id,product_uom:id,product_qty,active,routing_id/id,bom_line_ids/product_id/id,bom_line_ids/product_uom/id,bom_line_ids/product_qty
scenario.bom_151154,scenario.product_151154_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142223,product.product_uom_unit,1
scenario.bom_151155,scenario.product_151155_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142223,product.product_uom_unit,1
scenario.bom_151155,scenario.product_151155_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151155,scenario.product_151155_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151156,scenario.product_151156_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151156,scenario.product_151156_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151156,scenario.product_151156_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141719,product.product_uom_unit,1
scenario.bom_151156,scenario.product_151156_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151157,scenario.product_151157_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151157,scenario.product_151157_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151157,scenario.product_151157_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151157,scenario.product_151157_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151158,scenario.product_151158_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151158,scenario.product_151158_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151158,scenario.product_151158_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151158,scenario.product_151158_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141720,product.product_uom_unit,1
scenario.bom_151159,scenario.product_151159_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151159,scenario.product_151159_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151159,scenario.product_151159_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151159,scenario.product_151159_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141726,product.product_uom_unit,1
scenario.bom_151160,scenario.product_151160_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
